user_id,date,label
11186,2010-03-16,0
1861,2007-07-28,0
2200,2007-09-29,0
9350,2009-08-05,0
2147,2007-09-21,0
5716,2008-07-14,0
7241,2008-10-20,0
1389,2007-07-04,0
3690,2008-04-09,0
12733,2010-07-06,1
7952,2009-01-22,0
2599,2007-11-24,0
9841,2009-10-17,0
8354,2009-03-04,0
10493,2009-12-21,0
8649,2009-04-13,0
11868,2010-05-02,0
8760,2009-04-29,0
5475,2008-06-30,0
7244,2008-10-20,0
4008,2008-04-28,0
10206,2009-11-15,0
4616,2008-05-30,0
2816,2008-01-18,0
9567,2009-09-08,0
2281,2007-10-08,0
2871,2008-01-31,0
4804,2008-06-06,0
12749,2010-07-07,0
4982,2008-06-14,0
5513,2008-07-02,0
8759,2009-04-29,0
1181,2007-06-29,0
1336,2007-07-03,0
5170,2008-06-19,0
8159,2009-02-12,0
10421,2009-12-05,0
7888,2009-01-15,0
10778,2010-02-01,0
12002,2010-05-08,0
11028,2010-03-07,0
9750,2009-10-05,0
3248,2008-03-20,0
12778,2010-07-09,0
6609,2008-09-05,0
1776,2007-07-20,0
1931,2007-08-08,0
4955,2008-06-13,1
4903,2008-06-11,0
12583,2010-06-25,0
8885,2009-05-14,0
3491,2008-03-30,0
6965,2008-09-23,0
6675,2008-09-07,0
4681,2008-06-02,0
11972,2010-05-07,0
5704,2008-07-14,0
807,2006-11-28,0
6204,2008-08-13,0
909,2007-01-15,1
9473,2009-08-20,0
7028,2008-09-28,0
2136,2007-09-16,0
12669,2010-07-02,0
2446,2007-10-26,1
280,2006-08-28,0
2357,2007-10-13,0
11782,2010-04-29,0
11966,2010-05-06,1
746,2006-11-02,0
9904,2009-10-23,0
4990,2008-06-14,0
12245,2010-05-29,0
2545,2007-11-15,0
1553,2007-07-09,0
5136,2008-06-18,0
1274,2007-07-03,0
2883,2008-02-02,0
12529,2010-06-20,1
4178,2008-05-08,0
5955,2008-07-30,0
8443,2009-03-13,0
337,2006-08-30,0
11515,2010-04-15,0
2992,2008-02-23,1
12414,2010-06-12,0
6563,2008-09-05,0
6048,2008-08-04,0
3822,2008-04-15,0
396,2006-09-07,0
13036,2010-07-16,0
8240,2009-02-20,0
2933,2008-02-11,0
9113,2009-06-22,0
3251,2008-03-20,0
7613,2008-12-04,0
13060,2010-07-17,0
1552,2007-07-09,0
3441,2008-03-25,0
12533,2010-06-20,0
7908,2009-01-18,0
6886,2008-09-17,0
10832,2010-02-08,0
11169,2010-03-15,1
6679,2008-09-07,0
9151,2009-06-30,0
511,2006-10-18,0
6224,2008-08-14,0
11908,2010-05-04,0
2695,2007-12-20,0
7938,2009-01-21,0
1108,2007-06-22,0
